Date,actual_level,fair_level,predicted_change,residual
2019-09-16,51.0394,58.66765677019401,1.085584448504436,-7.628256770194007
2019-09-17,51.5034,62.476684602335304,3.8090278321412963,-10.973284602335305
2019-09-18,50.8275,61.222472970981464,-1.2542116313538412,-10.394972970981463
2019-09-19,51.8025,60.918885414862046,-0.3035875561194158,-9.116385414862044
2019-09-20,59.7225,62.0103734578735,1.0914880430114486,-2.287873457873502
2019-09-23,58.9837,61.85839571473522,-0.15197774313827905,-2.8746957147352177
2019-09-24,60.9675,63.981186193909544,2.1227904791743266,-3.0136861939095425
2019-09-25,60.1,62.33297886868442,-1.6482073252251264,-2.2329788686844196
2019-09-26,60.845,62.843300727695265,0.5103218590108486,-1.9983007276952662
2019-09-27,61.685,63.91122994178371,1.067929214088443,-2.226229941783707
2019-09-30,59.8,63.050748536707026,-0.8604814050766859,-3.250748536707029
2019-10-01,60.645,65.50710967695953,2.456361140252499,-4.862109676959527
2019-10-02,63.3886,68.82086140626274,3.313751729303213,-5.4322614062627395
2019-10-03,62.7263,67.2922816817234,-1.528579724539338,-4.565981681723393
2019-10-04,60.2422,64.67534691464344,-2.6169347670799583,-4.433146914643444
2019-10-07,61.145,65.59098845764998,0.9156415430065452,-4.445988457649982
2019-10-08,63.0913,68.61936558454747,3.0283771268974764,-5.52806558454747
2019-10-09,61.4316,66.65753067876277,-1.9618349057846949,-5.225930678762765
2019-10-10,59.9725,65.16871612308225,-1.4888145556805186,-5.196216123082252
2019-10-11,57.2388,62.81920301309662,-2.349513109985629,-5.580403013096621
2019-10-16,56.0675,63.22389510740177,0.4046920943051504,-7.156395107401771
2019-10-17,55.63,62.77925013852011,-0.44464496888165717,-7.1492501385201095
2019-10-18,54.905,63.36416892730956,0.584918788789445,-8.459168927309555
2019-10-21,53.7975,62.09496118717342,-1.2692077401361388,-8.297461187173418
2019-10-22,54.6326,62.885444674275334,0.7904834871019156,-8.252844674275337
2019-10-23,54.1437,62.24701813762993,-0.6384265366454077,-8.103318137629927
2019-10-24,54.6188,61.82380077325363,-0.4232173643762986,-7.20500077325363
2019-10-25,53.5975,60.91135228396882,-0.9124484892848087,-7.313852283968821
2019-10-28,53.3275,59.93176242946039,-0.9795898545084288,-6.604262429460391
2019-10-29,54.4875,60.108094605409214,0.17633217594882308,-5.620594605409217
2019-10-30,54.2126,59.69503637502395,-0.41305823038525924,-5.482436375023951
